stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,2.25,0.28,0,0,0,0
21Day,0,0,0,0.74,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,4.07,0,0.37,0,0,0
3Month,0,0,0.1,1.25,0,0.1,0,0.21,0.21,0,1.77,0.73,0,0.52,0.21,0.1,0.21,0,0.1,0.1,0,0.1,0.1,0.52,0.21
22Month,0,0.41,0,0.68,0,0,0.14,0,0.55,0.14,7.24,0.96,0.14,0,0.27,0.41,0.14,0.14,0,0,0,0.27,0,0,0.14
