stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0
72hpf,0.28,0.56,0,1.13,0.28,1.41,0,0,0,0,0,0,0,0,0,0.85,0.56,0.56,0,0,0.28,24.52,62.85,0,0,0,1.13,0.28,0,6.48,2.82,0.56,55.24,0,0,0
21Day,3.33,0.37,0.37,7.03,0.74,6.29,1.11,0,0.37,0.37,0.74,0,1.11,1.11,0.37,2.59,1.85,6.29,0,0,0.74,27.38,12.21,0.37,1.11,0,2.22,3.33,0.74,8.14,3.33,2.59,92.5,0,0,0.74
3Month,0,0.1,0.1,1.14,0.31,0,0.1,0.1,3.12,0,1.46,0.21,0.1,0.42,0,2.91,0.31,0.1,0.1,0,0.21,0,0.1,0,0,0,0,0,6.55,7.91,0.1,0.1,2.91,0,2.29,0.21
22Month,0,0.27,0,0.68,0.27,0,0.14,0,0.41,0.55,3.14,0.27,0.14,0.14,0,0.41,0.27,0.96,0,0.14,0.14,0.27,0.14,0.41,0,0.27,0,0,2.73,12.85,0.55,0,3.83,0.14,0,0
