stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.52,11.55,0,0,1.66,0.1,0,5.93,0,6.87,0.83,0.52,0.94,0.1,0,0.73,0.52,0.31,0,0.31,0.31,0.1,0.21,0.1
22Month,0.14,0.68,2.73,0,0.27,0.41,0.27,0.41,6.15,0.27,12.71,0.27,0,0.27,0.14,0.27,0.14,0,0.27,0.14,0,0,0,0,0.68
