stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,7,0,0,0,0,0,0,0,0,0,0,1,26,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,4.79,0,0.28,0,0,0,0,0,0,0.56,0,0.56,50.17,0,1.97,0,0,0,0,2.82,1.41,0,0.85,0,0.28,0.28,0,0,0,0,0
21Day,0.74,0,38.85,0,0.37,0,0,0,0,0.74,0,1.11,0,1.85,53.65,0,1.85,0,0,0.74,0,1.11,0.74,0,0.74,0.37,0,0,0.37,0.37,0,0,0
3Month,0.1,0,53.88,0.1,0,0.31,0.21,0.21,0,2.29,1.66,0,0.94,6.24,4.78,0.52,0.94,0.1,0,0.1,0.1,0.21,0.1,0.1,0.1,0.42,4.37,0,0,0,0.21,1.56,0.52
22Month,0,0.14,4.65,0,0,0,0,0.82,0.27,9.02,0.55,0,0.55,1.91,0.27,0.27,0.27,0,0.14,0,0.14,0.14,0,0.27,0,0.14,5.74,0,0,0,0,0,0.14
