stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0.37,0
3Month,0,0,0.1,0.31,0.1,0,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0.62,0
22Month,0,0.14,0,0,0,0.14,0,1.09,0,0.14,0.27,2.05,0,0.14,0.14,0,5.19,0.41
