stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,6.76,4.51,0,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0.74,0,2.96,1.85,0,0,0.37,0,0,0.37
3Month,0.62,0,0.42,0.21,0.1,0.1,0.52,0.1,0.31,0.21,0,7.59,0,0.1,7.28,0.1
22Month,0.14,0,0.14,0.14,0,0,0.14,0,0,0,0.14,3.42,0,0,0,0
