stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,21,0,0,2,0,0,0,0,0,0,0
72hpf,4.79,1.13,3.38,1.13,4.51,0,0,0,0,0.28,0,0,0,0,1.13,8.74,1.13,4.23,0,1.13,0.28,489.01,20.86,0.56,0,7.89,0,0,2.82,0,0.56,0,0
21Day,1.11,0.37,1.48,0,2.22,0.74,0,0.37,0,0,0,0.74,1.11,0.37,0,2.22,0,1.11,0,0,0.37,78.44,3.7,0,0.37,0.74,1.48,0,0,0.37,0,0,0
3Month,0.1,0,0.52,0,0,0,0.1,0.1,0,0,0.83,0.31,0,0.31,0.21,0.1,0.31,0.1,0,0,0,0.52,0.1,2.08,0,0,0.31,2.18,0,0,0,0.52,0.1
22Month,0,0.14,0.96,0,0,0,0.27,0.55,0.27,0,4.78,0.27,0,0.55,0,0,0.82,0.41,0.14,0,0,1.64,0,3.14,0.14,0,0.14,2.05,0,0,0,0,0
