stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,3,3,0,0,0,0,1,0,0,4,0,1,67,0,0,1,0,0
72hpf,0.28,0.56,0,0,0,0,0,0.28,0,0.28,0,2.25,3.38,0,0.28,0,0,0
21Day,0.74,0,0.74,0.37,0.37,0,0,0,0.74,1.11,0.37,0.74,0.37,0,0.74,0,0,0.37
3Month,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,1.56,0,0,0.1,0
