stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.13,0,0.56,0,0,0.28,0,0,0,0,0,0.28,0,0,1.13,0.28,2.25,0,0,0,0,1.97,1.13,0,0,1.13,0,0,0,0.28,0,0,0,0
21Day,0.74,0,0,1.85,1.11,0,0.74,0,0,0,0,0,2.96,0.37,0.37,0.74,1.11,3.7,0,0,0,0,2.59,1.11,0,0,1.48,0,0,0.37,0,0,0,0,1.48
3Month,0.21,0.62,0,3.74,0,0,0,0.31,2.91,0,2.91,2.29,1.25,1.25,0,1.87,3.33,3.74,0.31,0,0.31,0.31,0.21,0,0.1,0,0.31,0.21,0.1,4.16,0,0,0.62,1.14,2.5
22Month,0.14,1.37,0.14,1.5,0,0.27,0.14,0,2.87,0.82,8.2,1.37,1.23,0.96,0,0.82,5.88,3.42,0.14,0.14,0.27,0,0.14,0,0.14,0.14,0.14,0.14,0,0.55,0.68,0.14,0.14,0.14,2.05
