stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0.37,0,0,2.59,0.37,0,0,0.37,0.37,20.35,1.11,0.74,0,0,0,0,1.11,0.37,0,0
3Month,0,0.1,0.1,8.43,0.1,0,0.21,0.73,0.1,4.37,0,0.21,0.1,0,0.1,0.1,0,0,0.21,0.21
22Month,0,0,0,1.64,0,0.14,0.14,0,0,4.37,0,0,0,0.14,0,0,0,0,1.37,0
