stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,1,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,14,1,16,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,3.1,0.28,0,0,0,0,0,0,0,0,1.69,0.28,0,0.28,0,1.13,0,9.02,25.65,9.86,0.56,1.41,0,0,0.56,0,0,0,0,0
21Day,0.74,0.37,0.37,1.85,0.74,0,0,0.37,0,0,0,0.37,0,0,0.74,0.37,0,0,0,0,0.74,15.54,1.85,0.37,0.37,0.74,0,0.37,0.37,0,0,0,0
3Month,0.21,0.73,0.42,91.85,0,0.31,0,2.91,1.46,5.82,2.08,0.42,3.22,3.33,39.73,1.46,2.29,0.73,0,0.52,36.61,38.28,0,1.98,0.1,1.25,1.35,0.21,0,0,0.42,0.94,1.77
22Month,0,0.27,0,40.86,0,0.14,0.14,10.66,0.96,4.78,0.82,0,0.55,0.27,0.55,0.14,0.82,0,0.27,0.55,2.05,12.44,0.14,1.5,0,0,0.27,0,0,0.14,0,0,0.27
