stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.41,2.82,2.54,0.28,0,0,0,0,0,0,0,0,1.13,0.28,0.28,2.54,0,0.85,0.56,4.23,7.61,0,0.28,3.1,0,0,0.56,0.85,1.13,0.56,0,0,0
21Day,1.48,0.74,4.81,2.96,0,0,0,0,0,0.74,0,0,0,0.37,2.59,0,22.2,0,0,1.85,5.55,8.88,0,0,4.07,0,0.37,1.11,1.48,1.85,0.74,0,0,0
3Month,0,1.14,2.7,0.31,0,0,0.31,0.21,0.1,1.35,0.31,0,0.21,0.42,0.52,1.77,3.54,0.94,0,0.42,0.1,0,0.1,0,0,0.21,3.33,0,0,0,0.31,0,0.83,0.42
22Month,0,2.6,0.96,0.14,0,0.14,0,0.14,0.27,3.96,0.14,0.27,0.41,0,0,0.41,5.19,0.14,0.27,0.68,0.27,0,0.14,0,0.14,0,1.37,0.14,0,0,0.27,0.14,0,0
