stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,5.07,0,0,0,0,0,0,0,0,0,0,0,0.28,0,5.64,0.85,0,0,0.85,0,0,0,0
21Day,0,0,0,0.74,1.85,0.37,0,0,0,0,0,0.37,0,0,1.11,0,0,0.37,0.37,0,0,0,0.74,0,0,0,0.37
3Month,0,0,0.1,0.42,0.31,0,0,0.1,0,0,1.87,0,0.21,0.21,0.1,0.1,0.21,0.1,0.21,0,0.21,0,0,0.1,0.31,0.21,0
22Month,0,0.14,0,0,0.41,0,0.14,0.14,0.14,0,1.78,0.14,0,0,0.14,0.14,0,0.14,0,0,0.14,0.14,0,0,0.96,0,0
