stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0,9.3,1.13,0.56,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,10.73,0.37,0,0,0,0.37,0,0
3Month,0,0.1,0.31,0.1,0,0.1,1.25,0.1,0,0.21,0.31,0.31,0.1,0,0.1,0,0,0,0.1,4.16,0,0.1,1.46
22Month,0,0,0.27,0,0.27,0.14,1.91,0.14,0,0.14,0.14,0.27,0,0.14,0,0,0,0,0,0.55,0,0,0
