stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,7,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,0,0,1.48,0.37,0.37,0,0.37,0,0.37
3Month,0,0,0,0.1,0.1,0.21,0,0,0.1,0,0,0
22Month,0,0.96,0,0,0,0.27,0,0,0,0,0.14,0
