stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,1.69,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,3.7,3.33,0,1.48,0,0,1.11,0,0.37,0,1.85,1.85,0,0.37,1.85,0,0,0,0.74,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0.1,1.56,1.14,29.75,0,1.87,1.14,0.1,6.03,52.32,0,127.21,32.56,2.81,61.37,2.7,8.95,18.52,5.3,1.04,0.52,6.76,2.08,0.21,0.1,1.77,0.1,3.74,0.1,3.12,0.1,0,2.08,2.08,14.46
22Month,0.14,0.55,0.82,4.37,0,0.14,0.68,0,2.05,18.17,0.27,66.27,4.37,2.19,34.98,0,1.09,6.7,1.91,0.14,1.64,0.96,0.27,0.27,0,1.23,0.14,0.27,0,1.37,0,0,0.41,0,1.91
