stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,3,0,0,0,0,0,0,0,2,1,1,1,0,10,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.56,1.13,1.97,0,0,0,0.56,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0.74,0,0.37,0.74,1.48,0.37,0,0,0.37,0,0
3Month,0,0.94,0,0,0,0.62,0,0,0.42,0.21,0.1,0,0,0,0,0.21,0,0.31,0,0.1,1.35
22Month,0.14,0,0,0,0.27,1.5,0.14,0.14,0.41,0,0,0.41,0.14,0,0,0,0.14,0,0,0,0
