stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,1,0,0,0,0,0,0,0,0,0,1,1,34,1,0,0,0,179,20,0,0,0,0,0,0,0,0,14,0,0
72hpf,0.28,0.85,0.56,0.56,0,0,0,0,0,0,0,0,0.28,1.13,1.13,0.85,0,0,0,39.18,3.95,0,0,1.13,0,0,0.28,0,0,33.54,0,0
21Day,0,0,0.37,0.74,0.37,0,0,0,0,0,2.96,0,0,0.74,4.07,0.74,0,0,0,4.81,0.37,0,0,0,0,0,0,0,0.74,4.07,0,0
3Month,0,0.94,1.98,0,0.21,0,0.31,0.83,1.14,0.42,0.73,0.31,0,0.94,13.52,0.31,0.1,0,0.1,2.81,0,0.1,0,0,0.94,10.51,0,0,0,0.52,3.33,0.52
22Month,0,1.64,0.55,0,0.14,0.14,0,3.83,4.51,0.14,3.42,0.27,0,0.14,22.14,1.23,0,0.14,0,2.19,0,0,0.14,0,0.27,5.6,0,0.14,0,0,0,0.27
