stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,1.48,0.37,0.74,0,0,0,0.37,0.37,0,0,0.74,0,4.81,0,0,0,0,2.22,0.37,0.74,0,0.37,0,0
3Month,0,0,0,0.73,0,0,0.1,0.21,1.66,1.25,0.1,0.73,0.31,0.1,0.1,3.22,0.1,0,0,0.21,0,0,0.1,0.31,0,0.1,0.1
22Month,0,0.55,0.14,0.41,0,0,0.27,0.55,0.55,7.93,0.14,0.14,0,0,0.27,2.19,0,0.41,0.14,0.27,0,0,0,0,0.27,0,0.14
