stage,Epithelial_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0
72hpf,0.85,0,0,0,0.28,0,0,0,0,0
21Day,7.03,0,0.37,0.37,3.33,0,0,0,0,0
3Month,3.22,0.21,0,0.21,0,0,0.1,0.21,0.42,0.1
22Month,0.14,0.41,0,0,0,0,0,0.27,0,0
