stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,1,0,1,0,0,0,0,0,1,15,0
72hpf,0,0.28,0.28,0.28,0.56,0,0.28,0.28,0.56,1.13,0.28
21Day,0,0,0,0.37,0.37,0.37,0,0,0,1.11,0.37
