stage,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,8
72hpf,0,0,0.28,3.95,1.97
21Day,0.37,0.37,0,3.33,0.37
