stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,2,1,10,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.28,0.56,0,1.97,4.23,0.56,0,1.41,0,0.28,0,0.28
21Day,0.37,0.74,0,0,0,0,0,0,0,0,0,0.74,2.59,0,0.37,0.74,0,1.11,0.37,0
3Month,0,0.1,0,0.21,0.1,0,0,0,0.1,0.31,0.21,0.42,0.1,0,0,0,0.31,0,0,0
22Month,0,0.41,0,0.55,0.68,0.14,0.14,0.14,0,0,0.14,0.68,0,0,0.14,0,0.14,0,0,0
