stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.52,0.1,0.1,0,0.21,0,0.52,0.21,0.21,0.21,0.42,0,0.21,0.42,0,0.1,0.1,0.1,0.73,0.21,0,0.1,0.31,0
22Month,0.27,0.27,2.05,0,0.68,0.14,1.5,0.27,7.93,0.14,0.14,0.14,0.41,0.14,1.23,0.14,0,0.14,0,0.14,0.14,0.14,0.14,0,0,0.14
