stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,3,2,0,19,0,0,0,0,0,0,0,0,0,2,6,7,13,2,8,1391,0,0,4,0,0,0,0,0,1,0,0
72hpf,5.07,1.41,0,5.36,0.56,3.66,0,0,0,0,0,0,0,1.13,6.48,0.28,10.43,0.85,424.46,180.38,0.28,0.28,8.74,0,0,21.42,1.97,0.28,1.41,0,0
21Day,2.59,0,1.11,10.36,0.37,9.99,1.48,0.37,0,1.85,0.37,2.96,0.37,2.22,5.18,1.85,9.62,1.11,227.91,118.77,0.74,0.74,6.29,7.4,0,31.45,2.59,2.59,1.85,0,2.22
3Month,0,0,0,0.1,0,0,0,0,0,0.42,0.21,0.1,0.1,0.1,0,0,0,0,0.73,0.21,0,0,0,0,0.52,0.31,0,0,0.1,0.1,0
22Month,0,0.27,0,0,0,0,0,0.68,0.14,2.19,0.27,0,0,0.14,0,0.14,0.27,0,1.09,0.14,0.14,0,0,0,0.14,0.96,0,0,0,0,0.14
