stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0
3Month,0.62,1.46,0.42,0.42,1.46,0.42,26.94,0,0.21,0.31,0.21,0,0.21,0.1,0,0,0.31,0.21,0.1,0.1
22Month,0.96,0.55,0.27,0,2.19,0,22.55,0,0,0,0.14,0.14,0,0,0,0.14,0.14,0,0,0
