stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,1.85,0,0.37,0.37,0,0,0,0,0,1.11,0,0,2.59,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0.37
3Month,0,0.52,1.87,0.1,0,0,0.73,0.73,0,3.02,0.31,0,3.22,0.21,0.1,0.83,0.31,0,0.21,0.31,0.31,0.1,0,0.52,0,0.21,0.21,1.77
22Month,0,0.14,0.27,0,0,0,0,0.68,0.14,1.5,0.27,0,1.23,0,0,0.68,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0.41
