stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
72hpf,70.46,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0.28,1.13,0,5.36,0,0,0,4.23,6.48,0,2.54,0,0,0.28,0,0,0,0
21Day,35.52,0,0,0.74,1.48,0,0,0,0,0,1.48,0.37,0.74,0,0,0.74,3.7,0,0,0,1.11,0.74,0,0,0.74,0.37,0,0.37,0,0,0.37
3Month,1.35,0.1,0,0.21,0,0,0,0.1,2.6,1.56,3.85,0.1,0.62,0,0.1,0.73,0.73,0,0.1,0.1,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0.21
22Month,0.41,0.14,0.14,0.27,0,0.41,0.27,0,12.71,5.19,10.39,0.55,0.96,0,0,3.01,0.68,0.68,0.14,0.14,0,0,0.14,0,0,0.41,0,0,0.14,0,0.27
