stage,Cardiomyocyte,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
72hpf,0.28,0.28,0,0,0,0,0,0.28,0.56,0,0,1.13,0
21Day,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37
3Month,0,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0,0
22Month,0,0,0.14,0.68,0,0,0,0,0,0,0,0,0
