stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,1,0,7,0,0
72hpf,0,0,0,0.28,0,0,0.85,1.13,0,0.28
21Day,0.37,0.37,0,0,0.37,1.48,0.74,0.74,0.37,0
