stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,3,34,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,2.25,0,0,0,0,0,0,0,0,0,0,1.97,3.95,0,2.82,0,0,0,0,8.17,6.2,0,0,1.41,0,0,2.54,0,0,0,0,0
21Day,1.48,0.74,0,8.51,4.07,0,1.85,0,0.74,0,0,0.37,3.7,0,0,2.59,2.59,5.18,0,0,0,0,2.59,4.81,0.37,1.48,1.48,0.37,0,0.74,0.74,0,0,0,0
3Month,0,0.1,0.1,3.02,0,0,0.1,0.1,0.73,0,5.41,0.1,0.31,1.14,0.42,1.77,0.94,1.25,0.1,0,0.1,0,0.1,0,0.1,0.52,0.21,0,0.42,0.1,0,0,0.52,0.21,0.42
22Month,0,0,0,0.96,0,0.14,0,0,1.5,0.41,9.02,0.27,0.41,1.09,0,0.41,1.23,0.27,0,0.14,0,0,0,0.14,0,0.55,0,0,0.14,0,0,0.14,0,0,0.14
