stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0.28,0,0,0,0,0,0.28,0,0,0.85,0,0,2.25,0.28,0.28,0,0.28,0,0,0
21Day,0,0.37,0,0,0,0,0,0.37,0,0,0.37,1.48,0,0,0,0,0.37,0,0.37,0,0,0
3Month,0.52,0,0,0.1,0.1,0,0.42,0.21,0,0.1,0,0.83,0,0,0,0,0,0.21,0,0.1,10.92,0.31
22Month,0,0,0,0,0,0.14,0.55,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0
