stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,7,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,2,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0.28,2.25,0,0,0,0,0,1.69,0.28,0,0.28,0,0,0,0
21Day,0,0,2.59,0,0,0,0,0,0,0,0,0,1.48,0,0.37,0,0,0,0.74,0.37,0,0,0,0,0,0
3Month,0.21,0,3.12,0.1,0,0,0.42,0.31,0.83,0.62,0.31,0.21,2.18,0.52,0.62,0.1,0.42,0.1,0.21,0,0.1,0.21,0.21,2.7,0.1,2.18
22Month,1.78,0.14,2.73,0,0,0.14,0.27,0,3.28,0.14,0.14,0.14,0.96,0.41,0.82,0.14,0.14,0,0.14,0,0.14,0.14,0,1.09,0,0
