stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,23.68,0.85,0,0,0,0,0,0,0,0.56,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0.37,1.11,0,0,8.51,0,0,0,1.11,0.37,0,0.37,0.74,0,0,0.37
3Month,0,0.1,0.21,0,0.42,0.52,0.21,0.31,0,0.1,0.1,0.1,0.52,0,0.21,0.1,0,0.1,0.83,0,0,0,15.5,0.42
22Month,0,0,0.14,0,0,0.41,0.27,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.14,0,0
