stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,29,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,1.41,0,1.69,0,0,0,0,31.85,21.14,0,0.28,1.13,0,1.13,1.41,0.85,0,0,0
21Day,0.37,0.37,0.74,0.37,0.37,0,0,0,0,0,0.37,0.37,2.96,0,0,0.74,0,9.62,6.66,0,0,0.74,0,0.37,1.48,0.37,0,0,0.37
3Month,0,0,0.31,0,0,0.1,0.21,2.5,0.1,0.1,0.21,0.42,1.14,0.21,0,0.1,0.1,0.21,0,0,0,0,0.62,0.1,0,0,0.42,0.21,0.31
22Month,0,0.14,0.14,0,0,0,0.41,5.19,0,0.55,0.14,0,0.41,0,0.41,0,0.14,0.14,0,0.14,0,0,0.27,0.14,0,0,0,0.14,0.14
