stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0.28,0.85,1.41,0.56,0,0,0,0.28,18.32,14.37,1.97,0,0,0,0.28,0,9.02,0,2.25,0,0,0
21Day,0,0,0,2.59,0,0.37,0,0,0,0,0,0,1.11,0,0.37,0.37,4.44,2.59,0,0,0,0,5.92,0.74,0,0,0,0.37,0,0.37,1.48,0.37,1.48,0,0,0
3Month,0,0.73,0,24.13,0.31,0.1,0.1,0.1,0.83,0.21,4.58,2.5,0.1,1.98,7.39,1.46,12.27,2.18,0.42,0.1,0.52,0.94,8.11,0.1,0.1,0.21,0,0.1,0.52,13.83,0.1,0,0.31,0.52,114.63,0.62
22Month,0,0.55,0.27,13.8,0,0.14,0,0.14,1.91,0.55,16.67,1.78,0,0.82,1.64,0.55,8.88,4.1,0,0.14,0.14,0.27,2.05,0.41,0.96,0.27,0.27,0,0,4.65,0.82,0,0.14,0.14,0.55,0.27
