stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0.28,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,1.69,1.97,0,0.85,0,0,0.28,0,0,0
21Day,0.74,0,1.11,0,0.37,0,0,0.37,0,0,0.37,0.37,0,0,0,0.74,0.37,1.11,0,0.37,0.74,0.37,0.74,0.74,0,0
3Month,0,0.1,0.42,0,0,0.1,0.31,1.35,0.1,0,0.73,0,0.31,0.1,0.31,0,0,0,0.1,0,0,0.42,0,0,1.56,0.1
22Month,0,0,0.14,0,0,0,0,1.91,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0,0,0,0.27,0,0,0,0
