stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell
72hpf,0,0,0,0,0,0,0,0.28,0.28,0,0,2.82
21Day,0,0,0,0,0,0,0,0,0,0,0,1.11
3Month,0,0.1,0.21,0,0.1,0,0.1,0,0,0.1,0.1,0.31
22Month,0.14,0.14,0,0.41,0,0.14,0,0,0,0.14,0,1.09
