stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,2.82,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,17.76,4.51,0,0,0,0,0,1.97,5.92,6.48,0.28,0,0,0
21Day,0.37,0,0,0.74,2.96,0,0,0,0,0,0,0.74,0,0,0.37,0.37,0,0,0,0.37,7.77,1.48,0,0,0,0.37,0.74,0,7.4,34.41,0,0,0,0
3Month,0.1,0.21,0.42,9.47,1.04,0,0.62,0.62,0,5.1,1.04,0.1,0.62,0.42,0.62,0.73,0.21,0.21,0.31,0.52,8.01,0.21,0.42,0.1,0,0.42,10.19,0.21,0,0.1,0,0.42,174.23,0.52
22Month,0,0.14,0.14,2.6,0.41,0,0,0.27,0.14,4.78,0,0,1.09,0,0,0.14,0.27,0,0,0,1.64,0,0.27,0,0.14,0,3.55,0,0.14,0,0.14,0,0.82,0.14
