stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,527,7,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.97,129.37,0.85,0,0.28,0,0,6.48,2.25,0,0,1.13,0,0,1.13,0,0.28,0,0,0
21Day,1.11,0,0,1.85,0,1.48,0,0.37,0,0,0,0,0,0,1.48,0.37,0.37,2.96,152.06,1.85,0,0,0,0,2.59,1.85,0,0,0.37,1.85,0,0.37,0,0.74,0,0,0
3Month,0.21,0.73,1.04,5.72,0.1,0,0.42,0,1.04,3.33,0,0,9.67,4.58,0.83,4.68,0.52,3.02,421.79,3.74,0.73,0.21,0.31,1.25,0.52,0,0.21,0.31,0.31,3.02,2.7,0.21,0,0,1.04,3.02,2.5
22Month,0.41,2.05,0.27,4.78,0,0,1.37,0.14,0.82,5.19,0.68,0,15.17,3.01,2.05,3.01,0.41,0.68,557.12,4.92,0.14,2.32,0.68,0.14,0.55,0,0.68,1.37,0.27,0.82,0.55,0.27,0.14,0,0.14,0,2.46
