stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0.28,0.56,0,0,0,0,0,0,0,1.97,0.28,1.13,0,0,8.74,0.85,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0.74,0,0.37,0,0.74,1.48,0.37,0,2.22,0.74,0,0.37,0.37,0,0.37,0.37,0,0
3Month,0.1,0.52,0,0,0.21,0.62,0,0.1,0,0.1,0,0.42,0.1,0.1,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0.1
22Month,0,0.14,0,0,0,0.14,0,1.5,0,0.14,0,0,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0,0.14
