stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,11,1,0,5,0,1,0,0,0,0,2,0,0,0,0,1,2,1,4,0,0,24,27,0,0,0,0,0,0,0,0,1,0,0
72hpf,1.97,0.28,0,2.25,1.41,0.56,0,0,0,0,0,0,0,0.28,0,1.13,14.37,0.28,5.07,0,0,134.72,20.57,0.56,0.56,8.17,0,0,3.38,0.28,0.28,1.13,0,0
21Day,7.03,0.37,0.37,22.94,0.74,1.85,0,0.37,0,0,0,0,0.37,1.11,0.37,1.48,33.67,1.48,15.91,4.44,0.37,53.65,8.88,1.11,1.48,5.55,2.96,0,1.85,2.59,2.59,0.37,0,2.96
3Month,0.21,0.31,0,4.06,0.1,0,0.1,0,0.1,0,0,0.42,0,0,0.21,0.62,1.35,0,1.14,0.1,0.21,0.62,0,0.31,0.1,0,0,0.83,0,0,0,0,0.1,0.21
22Month,0,0.14,0,0.41,0,0,0,0,0.14,0.14,0,0.68,0.14,0,0,0,0.27,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
