stage,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell
3Month,9.05,0.42,0.1,0.31,0.21
22Month,4.1,0,0,0,0
