stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,2,0,0,0,10,0,1,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,1.11,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.1,0,5.51,0.1,0.31,0,0.83,0.42,0.1,0.1,0.21,0.52,0.21,0,0,0.1,0.1,3.54,0.21,0.21,0.1
22Month,0,0,0,0,0,0,0.27,0,0,0,0,0.14,0,0,0,0,0,0.68,0,0.14,0
