stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0.1,0,0,0.21,0.21,0.1,0.1,0.21,0,0.1,0,0,0,0.42,0,0.1,0.1
22Month,0,0.14,0.14,0,0.41,1.23,0.14,0,0,0,0,0.14,0,0.27,1.09,0,0
