stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,4,0,0,5,0,0,0,0,0,0,0,0,0,4,22,0,0,0,8,266,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0,0,7.33,14.37,0,3.95,0,0,1.97,0.28,0,2.54
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,2.96,1.85,0,0.74,0.37,0,0,0,0.37,0
3Month,0,0.1,0.1,0.62,0,0,1.04,0.21,0.21,0.1,0.31,0.1,0.21,0.21,0.83,0,0.21,0.21,0.21,0.21,0,0,0,0.94,0,0,0,0
22Month,0,0,0.14,0.41,0,0.14,0.27,0.14,1.91,0.27,0.82,0,0,0,0.55,0.14,0,0,0,0,0.14,0,0,4.1,0,0.14,0,0
