stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,1,0,0,0,1,6,0,0
72hpf,0,0.28,0,0,0,0,2.25,0.28,0
21Day,0.37,1.11,0,0,0,0.37,7.03,0.74,0.37
3Month,0,0.1,0,0.1,0,0,0.73,0.21,0
22Month,0,0.27,0.14,0,0.14,0,0.27,0,0
