stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,11,8,0,6,1,0,0,0,0,0,0,0,0,0,0,0,7,29,0,0,0,0,14,226,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,13.53,2.54,0,7.61,1.97,3.1,0,0,0.28,0,0,0,0,0,2.25,9.02,1.97,19.45,0,1.41,0,0.28,457.16,93.01,0.28,1.13,0,17.47,0,0,11.84,0.56,0.28,0.85,0,0,0
21Day,14.06,1.48,0,6.29,0.74,4.44,0,0.74,0.37,0,0.37,0,0.74,0.37,0.74,3.7,7.4,17.76,0,0,1.85,0,121.36,24.79,0,0,0,6.29,5.55,0.74,5.18,0.74,0.74,0.74,0,0,0.74
3Month,0,0,0,1.25,0,0,0.1,0,0.42,0,0.94,0.62,0,0.52,0,0.21,1.56,0.21,0.31,0,0.1,0,0.42,0,0.21,0.1,0,0,0.1,2.39,0.1,0,0,0,0.1,0.21,0.21
22Month,0,0.41,0.27,1.09,0,0,0,0,0.14,0.41,4.24,0,0.27,0.27,0,0.14,1.37,1.5,0,0,0,0,0.68,0,0.55,0.27,0.14,0.27,0,2.05,0.82,0,0,0,0,0,0
