stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,3.95,0.56,0,0,0,0,0
21Day,0.74,0,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,7.77,0.37,0,0,2.22,0.74,0
3Month,0,0,0.1,0,0,0.1,0.1,0,0.42,0.1,0,0,0,0.21,0.1,0,0,0,0.21,0.1,0.83,8.95,0,0.42
22Month,0,0.14,0.14,0,0,0,0.27,0.14,1.78,0,0.14,0.41,0.14,0.14,0,0.27,0.14,0,0,0,0.27,5.88,0,0
