stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,38,5,28,5,1,0,0,0,2,0,0,1,0,9,21,11,186,0,0,32,3052,0,0,0,11,0,0,0,0,0,6,0,0,0
72hpf,24.8,3.95,7.89,1.97,9.02,0,0.28,0,0,0,0,0.56,0,3.38,18.88,1.69,268.04,0.56,0.85,862.17,252.82,0.28,2.54,0,68.21,0.85,0,80.61,26.21,19.45,1.13,0,0,0
21Day,21.09,0.74,13.32,1.11,3.7,0,0,0.37,0,0.37,0.37,1.48,0.74,0.37,4.81,2.59,115.07,0,1.85,106.19,73.26,0,0.37,0,6.66,7.77,0.37,27.75,14.06,61.05,0.74,0,0,1.11
3Month,0.1,0.21,1.87,0,0,0.21,0.21,0,0,1.04,0.52,0.1,0.62,0.21,0.1,0.42,0.73,0,0,0.31,0.62,0.31,0,0,0,0,4.06,0.21,0,0,0,0.21,0.21,0
22Month,0,0.27,0.68,0,0,0.27,0.41,0,0,2.19,0.14,0.14,1.09,0.41,0,0.41,0.41,0,0,0.27,0.41,0.14,0,0.27,0,0.27,4.78,0.55,1.64,0,0,0,0,0.27
