stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0.56,0,0,0,5.92,0.56,0.85,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,31.08,4.07,0,1.48,0,0,0.37,0,0,0.37,0,0.74,0,0,1.11,0.37,3.33,0,0,0.74,5.18,4.07,1.11,1.11,0,0.37,1.48,0,0,0.37,0,0,0,0
3Month,0.62,57.94,19.04,0.1,0,0.42,0.21,4.16,2.91,0,9.05,3.33,0.21,9.99,1.77,2.18,1.77,8.32,0.52,0.1,1.77,89.87,0.1,0,1.87,0.42,0.1,1.35,2.29,0.42,0,0.1,0.94,2.81,1.77
22Month,0.27,19.54,2.87,0,0,0,0,2.73,0.55,0.27,5.6,0,0.14,3.01,0.14,0.14,0.82,1.91,0,0.27,0.55,5.19,0,0.14,0.55,0,0,0.14,0.27,0,0,0,0,0,0.14
