stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,1.13,0,0.28,0.56,0,0,0,0,0,0.85,0.28,0.56,0,0,0,0,139.8,1.97,0.28,3.95,2.25,0,0,0.28,0
21Day,0,0,2.22,2.59,0,0,0,0,0.37,0.74,0,1.48,0,0,0,0,61.42,0,0,0.74,0,0.37,0,0.74,0.37
3Month,0,0,0.1,0,0,0,0.83,0.21,0.1,0,0.1,1.04,0.52,0,0.1,0,0,0,0.1,0.21,0,0,0.21,0,0
22Month,0,0.27,0.27,0,0.41,0.27,3.28,0.14,0.14,0,0,2.19,0,0.41,0,0.14,0.55,0,0.14,0,0,0,0.14,0.14,0
