stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0,1.11,0,0,0.74,0,0,0,8.88,0.37,0,0,0,0.74,0.37,0,0,0,0,0,0,0.37,0,0,0
3Month,0.31,0.21,1.35,0.1,0,0.52,55.13,0.83,11.44,0.21,0.94,0.1,0.62,10.19,0.94,0.21,0.1,0.21,0,0,0,0.21,0.31,0.1,0.73,0,0,0.21,0.21,0.21
22Month,0,0.41,0.14,0,0,0.14,46.87,1.91,1.23,0,0.14,0,0,1.91,0.55,0,0.14,0,0,0,0.14,0,0,0,0.68,0.14,0,0,0,0.14
