stage,Granulosa_cell,Hepatocyte,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell
24hpf,0,0,1,0,0
21Day,0,0,0,0,0.74
3Month,0,0.21,0,0.1,0
22Month,0.14,0.14,0,0,0
