stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,13,0,0,0,0,0,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,3.38,0,0,0,0,0,1.13,29.59,0.28,0.56,0,1.13,0.85,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0.37,36.63,0.37,0,0,0,0,0.74,34.41,0,0,0,1.48,0.74,0,0,0.37,0,0,0.37,0,0.37
3Month,0,0,7.59,0,0.21,0.42,0.94,0.1,0,3.02,0.21,0,0.21,0.1,0,0.1,0,0.1,0.31,0,0,0.31,0.1
22Month,0,0,0,0,0,0,1.09,0,0,0.41,0.14,0,0,0,0,0,0,0,0,0,0,0,0
