stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
21Day,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0.37,0
3Month,0.1,4.89,0.21,0.62,0,0,0,0,2.7,0.21,1.25,0,0.21,0.42,0.21,0.1,0.21,0,0.73
22Month,0,0.68,0,0.27,0.14,0.14,0.55,0,1.78,0,0.27,0.14,0,0,0,0,0.14,0,0.41
