stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0,0,0,1,0,0,0
72hpf,0,0,0.56,10.71,0,2.25,0,0,1.13,0.85,0.28,0,0
21Day,0,0,0.74,13.32,0,1.85,0,0.37,2.59,0.37,0,0.74,0
3Month,0,0.1,0.1,0.21,0.1,0,0.1,0,0.1,0,0.1,0,0
22Month,0.14,0,0,0,0,0,0,0,0,0,0,0,0.41
