stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0.28,0,0,0
3Month,0,1.98,0.1,0,0.1,0.42,0.83,0.1,0,2.7,0.21,0.1,0.21,0.1,0,0.1,0.21,0,0,0.1,0.42
22Month,0.14,0.82,0,0.14,0,0.41,2.6,0.14,0.14,0.82,0,0.14,0.55,0.14,0.14,0.14,0,0,0.14,0.14,0.14
