stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0.28,42.56,0.85,0,0,0.56,0,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0.74,0,0,0,0,0,0,0,0,0,1.11,0.74,0,0,0,19.24,1.85,0,0,0.37,0.74,0,0.37,0,0,0,0
3Month,0.1,0.42,0.83,0,0,0,0.1,0.31,0,2.29,0,0,0.42,0.52,0.21,0.62,0,0.1,0.1,0.31,0,0,0,0.1,0.1,1.14,0,0,0.31,0.21,0.31
22Month,0,0.68,0.55,0,0,0.14,0,1.78,0.14,7.93,0.68,0.27,1.23,0.14,0.96,1.09,0.41,0.41,0,0.14,0,0.27,0.41,0.14,0.14,0.68,0.14,0.14,0,0,0
