stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0
3Month,0,0.73,0.1,0.1,0,0,0,0,0,0.1
22Month,0.14,0,0,1.37,0.14,0,0,0.14,0.14,0
