stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0.28,0.85,0,0.28,0,14.37,0.56,0.28,0.28,0.85,0,0,1.41,0,0
21Day,0,0.37,0.37,0,0.37,0,0,0.37,0,0,0.37,0.37,7.03,0.74,0,0.37,0,0,0,0.37,0,1.11
3Month,0.1,0.1,0.1,0,1.14,0.21,0.21,0.21,0.42,0,0,0,0,0,0,0,0,0.1,0.73,0,0,0.1
22Month,0,0,0,0,1.09,0,0.14,0,0.14,0.14,0,0,0,0,0,0,0,0,0.27,0,0.14,0.27
