stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,1,6,0,0,0,0,4,26,0,0,1,0,0,0,0,1,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,7.89,0,1.41,0,0,0,0,1.69,1.69,0,0,0.56,0,0,0,0,0,0,0
21Day,0.37,0,0,3.7,0,0,0.74,0,0,0,0.37,0.37,0,0,0.37,18.13,0.37,4.44,0,0,0,0,1.85,0.37,0,0,2.96,0.74,0.37,0.74,0.74,0,0,0
3Month,0,0.1,0,0.83,0,0.21,0,0.1,0.1,0,6.35,0.1,0,0.52,0.1,0.42,0.21,1.56,0.31,0,0,0.21,0,0,0,0,0,2.6,0,0,0,0,0.62,0.1
22Month,0.14,0.41,0.55,1.5,0,0.14,0.41,0.27,0.55,1.23,134.87,1.5,0.82,6.56,0,0.27,1.78,4.92,0,3.01,0.27,0,0.14,0.14,0.27,0.14,0,2.87,0.14,0,0,0,0,0.55
