stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0.28,0,0,0,0,0.28,0,0.85,0.85,1.69,0,0.28,0,80.89,9.86,0,0.85,0.85,0,0,0.56,1.97,1.97,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0.74,0,0,0,1.48,0,0,0,35.15,5.18,0,1.48,0,0,0,1.48,3.7,5.92,0,0
3Month,0,0.1,0,0,0.1,1.14,0.42,0,0.1,0.1,0.1,0.21,0.1,0,0.1,0,0.1,0.21,0,0,0,0.21,0,0,0,0.1,0.1
22Month,0,0.14,0,0,0.14,2.05,0.14,0,0.27,0.14,0,0,0,0,0,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0
