stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,6,2,0,0,0,0,0,2,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0,0.56,26.78,0,0,0,0,7.33,0.28,0,0.28,0,0,0,1.69,0
21Day,0.74,0.37,0,0,0,0.37,0,0,1.11,0,0,27.75,0.74,0,0,0,4.07,0.37,0,0,0.74,0,0,0.37,0
3Month,0.21,0.62,0,0,0.1,0.21,0.73,0.21,0,0.42,0.21,25.9,0.1,0.1,0,0,0.52,0.1,0,0,0,0.31,0,0,0.21
22Month,0.27,0.14,0,0.14,0,1.64,2.05,0.82,0.82,0.14,0,34.44,0.41,0,0.27,0.14,0.41,0,0.27,0,0.27,0.14,0.14,0,0
